longitude,latitude,population,households,median_income,median_house_value,ocean_proximity
-122.22,37.84,1031.0,479.0,7.5,295200.0,NEAR BAY
-121.56,39.69,1163.0,512.0,3.13,168300.0,INLAND
-122.24,37.8,1213.0,554.0,2.6292,182700.0,NEAR BAY
-122.21,37.79,1143.0,386.0,2.875,143800.0,NEAR BAY
-122.2,37.77,1024.0,341.0,2.0562,102000.0,NEAR BAY
-122.25,37.79,381.0,123.0,1.6,112500.0,NEAR BAY
-122.23,37.82,1192.0,383.0,12.3804,500001.0,NEAR BAY
-122.12,37.71,552.0,210.0,4.0,167900.0,NEAR BAY
-122.08,37.71,1784.0,652.0,4.8237,220900.0,NEAR BAY
-122.09,37.68,704.0,314.0,3.5114,197500.0,NEAR BAY
-122.27,37.9,645.0,256.0,5.6228,375400.0,NEAR BAY
-122.14,37.67,1366.0,500.0,4.2386,192300.0,NEAR BAY
-122.29,37.87,1382.0,713.0,2.537,175000.0,NEAR BAY
-122.24,37.8,731.0,228.0,2.2697,127000.0,NEAR BAY
-122.16,37.73,768.0,385.0,2.8301,171600.0,NEAR BAY
-122.21,37.78,1240.0,393.0,2.3125,102800.0,NEAR BAY
-122.17,37.74,1481.0,414.0,2.4028,97700.0,NEAR BAY
-122.18,37.77,396.0,157.0,2.0786,97500.0,NEAR BAY
-122.26,37.89,1005.0,462.0,6.381,342200.0,NEAR BAY
-122.18,37.79,626.0,214.0,7.0875,240700.0,NEAR BAY
-122.25,37.8,1062.0,413.0,1.6121,171400.0,NEAR BAY
-122.13,37.75,229.0,93.0,5.3602,330000.0,NEAR BAY
-122.28,37.86,780.0,358.0,3.3906,179300.0,NEAR BAY
-122.19,37.74,417.0,155.0,2.5139,83400.0,NEAR BAY
-122.25,37.89,1031.0,448.0,6.7138,368600.0,NEAR BAY
-122.23,37.84,1098.0,485.0,5.2868,347600.0,NEAR BAY
-122.2,37.79,1410.0,480.0,2.7788,115400.0,NEAR BAY
-122.29,37.88,523.0,227.0,3.8672,216700.0,NEAR BAY
-122.29,37.86,1354.0,563.0,1.9483,150500.0,NEAR BAY
-122.23,37.81,861.0,258.0,8.8793,410300.0,NEAR BAY
-122.17,37.74,824.0,280.0,2.2917,92500.0,NEAR BAY
-122.3,37.87,1695.0,684.0,2.2208,144800.0,NEAR BAY
-122.18,37.74,323.0,109.0,1.8438,90500.0,NEAR BAY
-122.18,37.73,435.0,136.0,2.1111,79700.0,NEAR BAY
-122.28,37.79,3668.0,855.0,2.5444,275000.0,NEAR BAY
-122.15,37.74,853.0,272.0,3.5083,122000.0,NEAR BAY
-122.26,37.9,705.0,288.0,7.8864,357300.0,NEAR BAY
-122.18,37.77,1029.0,366.0,2.0556,100000.0,NEAR BAY
-122.1,37.69,387.0,161.0,3.9063,178400.0,NEAR BAY
-122.34,37.88,2556.0,924.0,1.7375,350000.0,NEAR BAY
-122.22,37.78,1700.0,495.0,2.0801,131900.0,NEAR BAY
-122.24,37.79,1237.0,303.0,2.125,95500.0,NEAR BAY
-122.23,37.77,612.0,183.0,2.57,72000.0,NEAR BAY
-122.16,37.77,968.0,384.0,3.5739,176000.0,NEAR BAY
-122.16,37.74,355.0,144.0,4.1458,143400.0,NEAR BAY
-122.18,37.77,877.0,268.0,2.8125,97300.0,NEAR BAY
-122.21,37.77,473.0,149.0,2.6765,88800.0,NEAR BAY
-122.24,37.8,360.0,175.0,2.1944,211500.0,NEAR BAY
-122.16,37.75,1516.0,482.0,1.5625,91700.0,NEAR BAY
-122.3,37.86,287.0,128.0,2.75,140600.0,NEAR BAY
-122.27,37.89,975.0,365.0,8.8342,430500.0,NEAR BAY
-122.1,37.68,1109.0,448.0,2.535,174000.0,NEAR BAY
-122.28,37.88,769.0,334.0,4.2614,261300.0,NEAR BAY
-122.19,37.79,1106.0,454.0,4.6563,231800.0,NEAR BAY
-122.21,37.8,1109.0,464.0,3.0682,156500.0,NEAR BAY
-122.22,37.78,2269.0,610.0,2.3906,111700.0,NEAR BAY
-122.28,37.82,728.0,244.0,0.8172,85300.0,NEAR BAY
-122.23,37.79,1011.0,263.0,1.8854,137500.0,NEAR BAY
-122.27,37.84,853.0,325.0,2.1806,99700.0,NEAR BAY
-122.23,37.85,1061.0,403.0,6.3434,373600.0,NEAR BAY
-122.24,37.81,918.0,483.0,2.7477,243800.0,NEAR BAY
-122.21,37.83,1627.0,766.0,6.8976,333300.0,NEAR BAY
-122.17,37.74,327.0,137.0,2.15,97200.0,NEAR BAY
-122.22,37.8,1129.0,460.0,3.2632,227700.0,NEAR BAY
-122.28,37.81,200.0,87.0,1.5208,112500.0,NEAR BAY
-122.15,37.74,1338.0,550.0,3.851,183500.0,NEAR BAY
-122.21,37.84,1358.0,597.0,6.0194,292300.0,NEAR BAY
-122.19,37.79,582.0,256.0,2.9514,198100.0,NEAR BAY
-122.23,37.8,787.0,459.0,3.1603,269500.0,NEAR BAY
-122.25,37.84,1157.0,647.0,3.12,241400.0,NEAR BAY
-122.29,37.85,218.0,106.0,2.5682,120000.0,NEAR BAY
-122.23,37.83,947.0,361.0,7.8772,500001.0,NEAR BAY
-122.22,37.79,1608.0,523.0,2.1494,132500.0,NEAR BAY
-122.17,37.78,296.0,121.0,4.175,144000.0,NEAR BAY
-122.28,37.82,622.0,259.0,1.5057,87500.0,NEAR BAY
-122.27,37.81,546.0,330.0,0.76,162500.0,NEAR BAY
-122.25,37.79,1475.0,460.0,1.7772,97500.0,NEAR BAY
-122.25,37.83,534.0,291.0,3.1429,231600.0,NEAR BAY
-122.16,37.74,826.0,295.0,4.0417,109400.0,NEAR BAY
-122.18,37.73,2736.0,780.0,2.455,82400.0,NEAR BAY
-122.26,37.83,1377.0,696.0,2.5898,176000.0,NEAR BAY
-122.28,37.81,377.0,115.0,2.4083,98200.0,NEAR BAY
-122.12,37.75,329.0,109.0,7.6923,329800.0,NEAR BAY
-122.27,37.8,125.0,39.0,0.9722,137500.0,NEAR BAY
-122.27,37.83,1258.0,536.0,2.7303,109700.0,NEAR BAY
-122.18,37.76,1299.0,451.0,1.8407,96700.0,NEAR BAY
-122.28,37.87,571.0,292.0,2.2788,182300.0,NEAR BAY
-119.73,36.83,1959.0,580.0,5.3478,138800.0,INLAND
-121.54,39.47,939.0,302.0,2.4952,53900.0,INLAND
-122.28,37.8,904.0,88.0,0.8668,137500.0,NEAR BAY
-122.05,39.34,494.0,175.0,2.875,61500.0,INLAND
-121.87,37.67,853.0,278.0,4.9879,229400.0,INLAND
-122.0,37.95,848.0,239.0,6.8145,339200.0,INLAND
-122.19,37.8,768.0,332.0,4.2727,246900.0,NEAR BAY
-122.14,37.73,922.0,393.0,4.6042,251900.0,NEAR BAY
-122.36,37.93,885.0,229.0,3.05,121600.0,NEAR BAY
-122.25,37.87,266.0,123.0,5.2289,384600.0,NEAR BAY
-122.09,37.68,569.0,293.0,2.5156,190900.0,NEAR BAY
-122.06,37.64,1038.0,282.0,4.1652,158200.0,NEAR BAY
-119.78,38.69,338.0,152.0,2.45,117600.0,INLAND
-120.9,38.2,1319.0,526.0,2.0472,93200.0,INLAND
-122.25,37.82,1104.0,398.0,5.883,340700.0,NEAR BAY
-122.16,37.77,446.0,180.0,4.7708,156300.0,NEAR BAY
-121.94,37.93,1341.0,428.0,7.5695,320400.0,INLAND
-120.69,38.44,597.0,228.0,4.2917,121300.0,INLAND
-122.16,37.75,378.0,135.0,2.5568,111100.0,NEAR BAY
-122.26,37.86,3276.0,1742.0,1.6307,253600.0,NEAR BAY
-122.16,37.75,928.0,261.0,1.8235,95200.0,NEAR BAY
-122.27,37.82,558.0,253.0,1.7348,137500.0,NEAR BAY
-122.24,37.77,585.0,266.0,2.3882,162500.0,NEAR BAY
-122.13,37.74,1476.0,648.0,5.0,248900.0,NEAR BAY
