customer_id,first_name,last_name,email,phone,age,gender,country,city,registration_date,last_purchase_date,total_spent,num_orders,is_premium,credit_score,annual_income,zip_code,ip_address,user_agent,preferred_category
1,Daniel,Wilson,emily.smith12@email.com,+1-555-1409,31,Male,USA,Boston,2019-10-13,2024-02-22,6059.99,72,True,651,123850,95181,190.140.125.58,Mozilla/5.0 (Linux),Sports
2,William,Rodriguez,david.miller98@email.com,+49-30-4611,39,Male,Germany,Munich,2023-07-09,2024-03-22,3861.28,46,False,726,109131,44671,115.142.3.195,Mozilla/5.0 (Windows NT 10.0),Beauty
3,Daniel,Miller,mark.williams6@email.com,+49-30-9785,60,Male,Germany,Cologne,2020-08-23,2024-11-17,9853.69,30,False,601,79823,46434,32.193.40.142,Mozilla/5.0 (Android),Beauty
4,Karen,Lee,jessica.moore94@email.com,+1-416-3664,33,Male,Canada,Quebec City,2020-06-30,2024-11-27,3856.61,82,True,835,58785,M1H 1M7,95.181.107.172,Mozilla/5.0 (iPhone),Electronics
5,Robert,Jones,linda.harris72@email.com,+44-20-6155,52,Female,UK,Belfast,2022-08-09,2024-08-22,4341.49,75,True,754,77447,SE3D 2AA,55.255.202.227,Mozilla/5.0 (Macintosh),Beauty
6,Nancy,Walker,john.thompson93@email.com,+44-20-7916,25,Female,UK,Bristol,2022-05-05,2024-08-27,1204.37,56,False,630,89470,SW5B 9AC,153.32.197.98,Mozilla/5.0 (Linux),Sports
7,Karen,Hernandez,mary.smith15@email.com,+33-1-4258,41,Female,France,Toulouse,2023-05-14,2024-09-28,673.46,73,True,590,41226,73699,40.191.82.139,Mozilla/5.0 (Windows NT 10.0),Sports
8,James,King,nancy.clark94@email.com,+44-20-3103,62,Male,UK,Liverpool,2021-12-16,2024-11-06,4050.02,86,False,741,87422,WC8A 4BA,169.243.84.68,Mozilla/5.0 (iPhone),Electronics
9,Linda,Williams,andrew.johnson43@email.com,+33-1-4770,22,Male,France,Nice,2022-12-20,2024-11-19,6722.88,28,True,826,47342,84847,151.112.3.19,Mozilla/5.0 (iPad),Home
10,Patricia,Wilson,jennifer.anderson94@email.com,+44-20-8749,21,Male,UK,London,2019-07-18,2024-12-03,4085.95,44,False,605,62591,SE4D 3DB,207.208.97.25,Mozilla/5.0 (iPhone),Home
11,Ashley,Clark,sandra.davis22@email.com,+44-20-2235,44,Female,UK,Glasgow,2022-01-12,2024-01-08,2216.1,52,True,580,51579,EC1D 5DC,114.50.25.167,Mozilla/5.0 (Android),Beauty
12,Betty,Hernandez,emily.johnson75@email.com,+33-1-8973,48,Male,France,Paris,2019-04-30,2024-10-23,9611.71,11,True,645,38981,87992,40.97.151.56,Mozilla/5.0 (Windows NT 10.0),Beauty
13,Ashley,Rodriguez,james.thompson92@email.com,+44-20-7615,38,Male,UK,Liverpool,2019-06-17,2024-08-02,4018.28,86,False,703,89929,NW2A 8AA,31.126.20.159,Mozilla/5.0 (iPad),Fashion
14,Jessica,Anderson,paul.moore91@email.com,+33-1-5345,37,Male,France,Lille,2020-05-15,2024-07-08,3063.85,85,False,603,145097,27601,34.178.35.226,Mozilla/5.0 (iPhone),Electronics
15,Christopher,Thomas,robert.young7@email.com,+1-555-3546,23,Female,USA,Phoenix,2020-12-03,2024-04-14,536.46,43,False,616,113507,44335,70.144.107.184,Mozilla/5.0 (Macintosh),Beauty
16,Paul,Lopez,daniel.moore19@email.com,+49-30-8007,45,Male,Germany,Berlin,2023-12-14,2024-03-17,3151.76,6,True,733,57535,99399,144.4.57.20,Mozilla/5.0 (Macintosh),Beauty
17,Andrew,Wilson,john.garcia95@email.com,+1-555-6794,39,Female,USA,Houston,2020-04-29,2024-03-24,2741.38,90,True,605,80140,15075,200.208.79.237,Mozilla/5.0 (Android),Fashion
18,Richard,Hernandez,robert.walker9@email.com,+44-20-8541,67,Female,UK,Bristol,2019-02-18,2024-12-03,6450.67,52,True,824,73404,SW2C 3CA,90.156.116.58,Mozilla/5.0 (Windows NT 10.0),Sports
19,Andrew,Jackson,james.rodriguez6@email.com,+49-30-6663,63,Female,Germany,Berlin,2021-11-13,2024-02-29,5247.21,69,False,650,77739,66531,187.160.223.156,Mozilla/5.0 (Windows NT 10.0),Beauty
20,Richard,White,maria.moore17@email.com,+1-416-6143,30,Female,Canada,Winnipeg,2020-09-25,2024-07-28,6805.45,23,False,841,69446,P9A 5L4,170.63.153.130,Mozilla/5.0 (Android),Sports
21,Dorothy,Young,dorothy.harris22@email.com,+33-1-6279,60,Male,France,Nice,2020-03-13,2024-09-18,5202.97,82,False,721,42240,40784,120.226.226.173,Mozilla/5.0 (Linux),Books
22,Charles,Wilson,andrew.lee74@email.com,+44-20-4262,30,Female,UK,Glasgow,2021-08-31,2024-11-08,4056.56,19,True,552,147002,SW7B 3DA,38.12.23.63,Mozilla/5.0 (iPad),Fashion
23,Paul,King,nancy.anderson21@email.com,+1-555-8478,65,Female,USA,Austin,2023-03-27,2024-08-14,2666.0,32,False,691,130376,78327,35.237.162.244,Mozilla/5.0 (Android),Beauty
24,Andrew,Moore,michael.jones20@email.com,+44-20-5499,32,Female,UK,Birmingham,2020-07-10,2024-06-20,7093.55,9,False,762,83424,NW9D 7AB,113.39.146.61,Mozilla/5.0 (Android),Home
25,Sandra,Young,paul.wilson69@email.com,+33-1-1320,65,Male,France,Bordeaux,2020-12-21,2024-06-01,2272.27,56,False,798,33804,60968,220.194.244.2,Mozilla/5.0 (iPhone),Beauty
26,Ashley,Gonzalez,daniel.jackson85@email.com,+49-30-3704,19,Male,Germany,Dusseldorf,2022-06-28,2024-09-30,1443.42,60,True,643,36590,44099,216.239.65.252,Mozilla/5.0 (Android),Books
27,Paul,Williams,mary.smith96@email.com,+44-20-8449,52,Male,UK,Bristol,2023-03-21,2024-08-03,2319.8,9,False,570,128858,SW4B 1BB,84.172.194.72,Mozilla/5.0 (Macintosh),Home
28,Steven,Robinson,jessica.martinez14@email.com,+1-555-4571,55,Male,USA,Phoenix,2022-05-25,2024-11-06,5800.39,49,True,753,123718,35995,120.131.188.43,Mozilla/5.0 (Windows NT 10.0),Sports
29,Nancy,Wilson,lisa.lopez9@email.com,+44-20-2669,50,Female,UK,London,2022-03-05,2024-01-22,8510.8,63,False,604,86822,NW8B 7BC,179.154.61.204,Mozilla/5.0 (iPad),Sports
30,Andrew,Anderson,linda.clark60@email.com,+49-30-8616,54,Female,Germany,Stuttgart,2020-05-17,2024-02-14,384.13,42,False,643,93904,37802,112.137.165.219,Mozilla/5.0 (iPhone),Books
31,Betty,Wilson,mary.moore98@email.com,+1-416-5581,33,Female,Canada,Quebec City,2020-01-27,2024-02-13,4536.93,3,True,597,68566,H7H 5X6,226.141.5.133,Mozilla/5.0 (Android),Sports
32,Robert,Davis,sarah.harris25@email.com,+33-1-6632,38,Male,France,Lille,2021-07-18,2024-05-18,9513.69,89,False,644,55105,38361,109.169.180.180,Mozilla/5.0 (Linux),Home
33,Patricia,Garcia,maria.smith91@email.com,+1-416-9595,52,Male,Canada,Ottawa,2020-02-02,2024-05-31,550.61,7,True,833,68290,E8D 1X5,153.144.51.214,Mozilla/5.0 (Android),Home
34,Paul,Williams,richard.thomas10@email.com,+49-30-6582,54,Male,Germany,Hamburg,2023-10-31,2024-09-01,1577.06,73,True,705,41164,42530,48.26.129.241,Mozilla/5.0 (Windows NT 10.0),Sports
35,Maria,Jackson,karen.johnson79@email.com,+49-30-4697,65,Male,Germany,Frankfurt,2021-06-25,2024-06-01,6292.6,34,False,591,50585,41439,199.194.230.233,Mozilla/5.0 (Macintosh),Sports
36,Emily,Davis,maria.white37@email.com,+1-555-3564,62,Female,USA,Los Angeles,2022-05-01,2024-08-28,6905.11,34,False,651,85723,25043,1.209.230.177,Mozilla/5.0 (iPad),Fashion
37,Charles,Brown,charles.white39@email.com,+44-20-5352,62,Female,UK,Liverpool,2019-12-06,2024-06-06,5054.67,64,False,774,40543,WC1D 6CA,212.72.36.16,Mozilla/5.0 (Windows NT 10.0),Fashion
